Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
CUST205,162,1,404,3,1,2,312
CUST206,161,3,930,3,2,2,322
CUST207,160,3,1038,3,2,3,323
CUST208,159,1,562,3,1,2,312
CUST209,158,2,2081,3,1,4,314
CUST210,114,3,844,4,2,2,422
CUST211,156,1,1000,3,1,3,313
CUST212,155,2,591,3,1,2,312
CUST213,154,1,126,3,1,1,311
CUST214,148,2,2278,3,1,4,314
CUST215,152,2,679,3,1,2,312
CUST216,98,5,1047,4,3,3,433
CUST217,150,1,336,3,1,1,311
CUST218,149,1,448,3,1,2,312
CUST219,148,2,1183,3,1,3,313
CUST220,147,3,3626,3,2,4,324
CUST221,146,1,1060,3,1,3,313
CUST222,145,1,75,3,1,1,311
CUST223,144,1,245,3,1,1,311
CUST224,143,2,3808,3,1,4,314
CUST225,142,2,735,3,1,2,312
CUST226,141,1,17,3,1,1,311
CUST227,140,1,708,3,1,2,312
CUST228,139,3,292,3,2,1,321
CUST229,138,2,386,3,1,2,312
CUST230,137,1,482,3,1,2,312
CUST231,136,3,1655,3,2,3,323
CUST232,135,2,1204,3,1,3,313
CUST233,134,1,270,4,1,1,411
CUST234,133,4,1116,4,3,3,433
CUST235,132,3,1817,4,2,4,424
CUST236,131,2,795,4,1,2,412
CUST237,130,1,648,4,1,2,412
CUST238,129,1,27,4,1,1,411
CUST239,128,1,42,4,1,1,411
CUST240,127,2,915,4,1,2,412
CUST241,126,4,2790,4,3,4,434
CUST242,122,4,1820,4,3,4,434
CUST243,124,1,728,4,1,2,412
CUST244,123,2,485,4,1,2,412
CUST245,122,3,1475,4,2,3,423
CUST246,121,1,360,4,1,1,411
CUST247,120,3,1283,4,2,3,423
CUST248,119,1,644,4,1,2,412
CUST249,118,1,534,4,1,2,412
CUST250,117,2,2193,4,1,4,414
CUST251,104,2,52,4,1,1,411
CUST252,115,3,1248,4,2,3,423
CUST253,114,4,1971,4,3,4,434
CUST254,113,2,1286,4,1,3,413
CUST255,112,1,383,4,1,2,412
CUST256,111,3,2788,4,2,4,424
CUST257,96,4,1628,4,3,3,433
CUST258,109,2,223,4,1,1,411
CUST259,108,2,837,4,1,2,412
CUST260,107,1,217,4,1,1,411
CUST261,106,3,505,4,2,2,422
CUST262,105,1,813,4,1,2,412
CUST263,104,1,271,4,1,1,411
CUST264,103,2,975,4,1,2,412
CUST265,102,3,2775,4,2,4,424
CUST266,101,2,67,4,1,1,411
CUST267,100,1,190,4,1,1,411
CUST268,99,1,266,4,1,1,411
CUST269,98,2,449,4,1,2,412
CUST270,97,2,1458,4,1,3,413
CUST271,96,3,759,4,2,2,422
CUST272,95,3,2092,4,2,4,424
CUST273,122,3,1780,4,2,4,424
CUST274,111,2,236,4,1,1,411
CUST275,275,1,210,1,1,1,111
CUST276,131,2,262,4,1,1,411
CUST277,225,2,169,2,1,1,211
CUST278,214,1,75,2,1,1,211
CUST279,156,1,1260,3,1,3,313
CUST280,101,2,2009,4,1,4,414
CUST281,205,1,160,2,1,1,211
CUST282,350,2,1562,1,1,3,113
CUST283,154,2,2356,3,1,4,314
CUST284,95,2,724,4,1,2,412
CUST285,127,4,2135,4,3,4,434
CUST286,254,1,2495,1,1,4,114
CUST287,188,2,351,2,1,1,211
CUST288,304,1,1240,1,1,3,113
CUST289,201,4,3697,2,3,4,234
CUST290,160,2,2197,3,1,4,314
CUST291,221,1,516,2,1,2,212
CUST292,232,2,1153,2,1,3,213
CUST293,237,2,150,2,1,1,211
CUST294,236,2,263,2,1,1,211
CUST295,188,2,914,2,1,2,212
CUST296,163,1,1210,3,1,3,313
CUST297,141,4,2690,3,3,4,334
CUST298,219,3,1156,2,2,3,223
CUST299,213,2,614,2,1,2,212
CUST300,106,2,1344,4,1,3,413
CUST301,203,1,1195,2,1,3,213
CUST302,274,1,48,1,1,1,111
CUST303,147,3,451,3,2,2,322
CUST304,331,1,380,1,1,1,111
CUST305,185,1,1920,2,1,4,214
CUST306,193,1,552,2,1,2,212
CUST307,172,1,1230,3,1,3,313
CUST308,116,3,2138,4,2,4,424
CUST309,326,1,750,1,1,2,112
CUST310,108,2,149,4,1,1,411
CUST311,181,1,566,2,1,2,212
CUST312,118,2,1853,4,1,4,414
CUST313,96,4,2491,4,3,4,434
CUST314,218,2,1602,2,1,3,213
CUST315,166,3,1312,3,2,3,323
CUST316,222,1,465,2,1,2,212
CUST317,304,2,2540,1,1,4,114
CUST318,245,2,2765,2,1,4,214
CUST319,298,1,13,1,1,1,111
CUST320,103,4,1407,4,3,3,433
CUST321,274,1,186,1,1,1,111
CUST322,272,2,1446,1,1,3,113
CUST323,243,1,66,2,1,1,211
CUST324,262,1,245,1,1,1,111
CUST325,107,2,1725,4,1,4,414
CUST326,172,2,502,3,1,2,312
CUST327,303,1,135,1,1,1,111
CUST328,121,1,522,4,1,2,412
CUST329,252,1,400,1,1,2,112
CUST330,113,1,352,4,1,1,411
CUST331,172,2,1888,3,1,4,314
CUST332,293,3,2258,1,2,4,124
CUST333,353,1,244,1,1,1,111
CUST334,265,1,1096,1,1,3,113
CUST335,179,1,255,3,1,1,311
CUST336,178,4,4513,3,3,4,334
CUST337,286,1,26,1,1,1,111
CUST338,151,4,1612,3,3,3,333
CUST339,107,3,1022,4,2,3,423
CUST340,277,2,399,1,1,2,112
CUST341,208,1,1644,2,1,3,213
CUST342,100,2,1966,4,1,4,414
CUST343,129,2,1753,4,1,4,414
CUST344,220,1,188,2,1,1,211
CUST345,202,2,418,2,1,2,212
CUST346,270,1,36,1,1,1,111
CUST347,156,1,984,3,1,3,313
CUST348,338,1,24,1,1,1,111
CUST349,201,3,3674,2,2,4,224
CUST350,109,2,730,4,1,2,412
CUST351,220,2,362,2,1,1,211
CUST352,329,2,3022,1,1,4,114
CUST353,234,1,257,2,1,1,211
CUST354,115,1,50,4,1,1,411
CUST355,135,2,416,3,1,2,312
CUST356,166,1,502,3,1,2,312
CUST357,109,1,51,4,1,1,411
CUST358,114,2,1657,4,1,3,413
CUST359,191,1,1030,2,1,3,213
CUST360,329,1,1004,1,1,3,113
CUST361,234,2,884,2,1,2,212
CUST362,261,2,1730,1,1,4,114
CUST363,294,2,1968,1,1,4,114
CUST364,100,3,2825,4,2,4,424
CUST365,114,1,1196,4,1,3,413
CUST366,234,2,1440,2,1,3,213
CUST367,96,2,1307,4,1,3,413
CUST368,243,1,530,2,1,2,212
CUST369,316,1,598,1,1,2,112
CUST370,125,1,234,4,1,1,411
CUST371,144,2,558,3,1,2,312
CUST372,292,1,104,1,1,1,111
CUST373,241,2,2062,2,1,4,214
CUST374,96,3,4648,4,2,4,424
CUST375,150,3,1162,3,2,3,323
CUST376,219,1,496,2,1,2,212
CUST377,158,1,564,3,1,2,312
CUST378,100,3,1250,4,2,3,423
CUST379,241,1,367,2,1,1,211
CUST380,228,2,272,2,1,1,211
CUST381,134,1,330,4,1,1,411
CUST382,136,1,36,3,1,1,311
CUST383,286,2,1653,1,1,3,113
CUST384,178,2,1924,3,1,4,314
CUST385,159,3,1343,3,2,3,323
CUST386,140,3,1497,3,2,3,323
CUST387,116,1,1452,4,1,3,413
CUST388,136,2,2016,3,1,4,314
CUST389,230,1,298,2,1,1,211
CUST390,119,4,1718,4,3,4,434
CUST391,126,3,3539,4,2,4,424
CUST392,165,1,1236,3,1,3,313
CUST393,131,3,1725,4,2,4,424
CUST394,327,1,780,1,1,2,112
CUST395,165,2,1352,3,1,3,313
CUST396,238,1,145,2,1,1,211
CUST397,341,1,160,1,1,1,111
CUST398,324,1,1444,1,1,3,113
CUST399,159,2,2912,3,1,4,314
CUST400,177,5,1545,3,3,3,333
CUST401,177,3,3141,3,2,4,324
CUST402,185,2,1143,2,1,3,213
CUST403,175,2,2122,3,1,4,314
CUST404,179,3,2241,3,2,4,324
CUST405,323,2,1724,1,1,4,114
CUST406,95,2,1479,4,1,3,413
CUST407,362,1,880,1,1,2,112
CUST408,348,1,489,1,1,2,112
CUST409,143,2,270,3,1,1,311
CUST410,113,1,36,4,1,1,411
CUST411,275,1,1396,1,1,3,113
CUST412,114,3,548,4,2,2,422
CUST413,272,1,34,1,1,1,111
CUST414,159,2,868,3,1,2,312
CUST415,158,2,1479,3,1,3,313
CUST416,287,1,80,1,1,1,111
CUST417,119,4,554,4,3,2,432
CUST418,282,1,580,1,1,2,112
CUST419,126,2,141,4,1,1,411
CUST420,192,3,2627,2,2,4,224
CUST421,288,1,150,1,1,1,111
CUST422,98,1,239,4,1,1,411
CUST423,301,2,904,1,1,2,112
CUST424,163,2,1347,3,1,3,313
CUST425,95,4,1562,4,3,3,433
CUST426,174,4,3859,3,3,4,334
CUST427,255,2,1720,1,1,4,114
CUST428,231,2,2339,2,1,4,214
CUST429,165,1,772,3,1,2,312
CUST430,155,2,622,3,1,2,312
CUST431,105,2,158,4,1,1,411
CUST432,98,3,2479,4,2,4,424
CUST433,195,3,1560,2,2,3,223
CUST434,180,3,896,3,2,2,322
CUST435,293,1,278,1,1,1,111
CUST436,169,2,1883,3,1,4,314
CUST437,150,3,3312,3,2,4,324
CUST438,134,2,2429,4,1,4,414
CUST439,142,3,1896,3,2,4,324
CUST440,120,2,2017,4,1,4,414
CUST441,320,1,740,1,1,2,112
CUST442,164,2,2508,3,1,4,314
CUST443,136,4,1000,3,3,3,333
CUST444,312,1,96,1,1,1,111
CUST445,307,2,2086,1,1,4,114
CUST446,103,1,699,4,1,2,412
CUST447,162,3,2769,3,2,4,324
CUST448,308,3,1676,1,2,3,123
CUST449,137,3,1744,3,2,4,324
CUST450,321,1,1136,1,1,3,113
CUST451,272,1,160,1,1,1,111
CUST452,216,2,1362,2,1,3,213
CUST453,97,2,256,4,1,1,411
CUST454,142,2,205,3,1,1,311
CUST455,159,3,1681,3,2,3,323
CUST456,107,3,4274,4,2,4,424
CUST457,279,1,1050,1,1,3,113
CUST458,264,1,582,1,1,2,112
CUST459,105,1,374,4,1,1,411
CUST460,190,2,1508,2,1,3,213
CUST461,218,2,2081,2,1,4,214
CUST462,127,5,5344,4,3,4,434
CUST463,149,2,1132,3,1,3,313
CUST464,242,1,1220,2,1,3,213
CUST465,159,2,1105,3,1,3,313
CUST466,217,4,2837,2,3,4,234
CUST467,99,3,543,4,2,2,422
CUST468,176,2,1513,3,1,3,313
CUST469,148,2,344,3,1,1,311
CUST470,211,4,919,2,3,2,232
CUST471,121,1,1385,4,1,3,413
CUST472,242,1,1170,2,1,3,213
CUST473,148,3,326,3,2,1,321
CUST474,128,3,2089,4,2,4,424
CUST475,130,2,1637,4,1,3,413
CUST476,331,2,595,1,1,2,112
CUST477,162,2,2004,3,1,4,314
CUST478,310,4,2955,1,3,4,134
CUST479,324,1,1524,1,1,3,113
CUST480,151,2,2444,3,1,4,314
CUST481,325,1,1140,1,1,3,113
CUST482,276,1,64,1,1,1,111
CUST483,352,1,255,1,1,1,111
CUST484,242,2,1979,2,1,4,214
CUST485,176,1,1180,3,1,3,313
CUST486,321,2,2247,1,1,4,114
CUST487,187,1,66,2,1,1,211
CUST488,263,1,74,1,1,1,111
CUST489,165,4,1665,3,3,3,333
CUST490,128,1,1422,4,1,3,413
CUST491,148,2,799,3,1,2,312
CUST492,265,2,1634,1,1,3,113
CUST493,141,3,2982,3,2,4,324
CUST494,292,3,1776,1,2,4,124
CUST495,167,1,239,3,1,1,311
CUST496,180,3,2917,3,2,4,324
CUST497,209,2,2655,2,1,4,214
CUST498,311,1,48,1,1,1,111
CUST499,102,2,428,4,1,2,412
CUST500,111,1,726,4,1,2,412
